branch,x,cp_min,cp_max,u_model
pressure,0.5489984869448622,0.22669316579207466,0.24665584623988937,0.009981340223907356
pressure,0.5514830628609023,0.22724901191774893,0.2469744879187522,0.009862738000501636
pressure,0.5539676387769423,0.2278048580434232,0.247293129597615,0.009744135777095903
pressure,0.5564522146929824,0.2283607041690975,0.24761177127647785,0.009625533553690169
pressure,0.5589367906090226,0.2287619752700552,0.24767652866561474,0.009457276697779765
pressure,0.5614213665250627,0.22902005726181074,0.2475061027490854,0.009243022743637336
pressure,0.5639059424411028,0.22927813925356627,0.24733567683255606,0.009028768789494893
pressure,0.5663905183571428,0.2295362212453218,0.24716525091602673,0.008814514835352463
pressure,0.568875094273183,0.22979430323707734,0.2469948249994974,0.008600260881210034
pressure,0.5713596701892231,0.23005238522883287,0.24682439908296808,0.008386006927067605
pressure,0.5738442461052632,0.23031046722058843,0.24665397316643875,0.008171752972925161
pressure,0.5763288220213033,0.22998519534204312,0.24638188250896131,0.008198343583459097
pressure,0.5788133979373433,0.22948117290949246,0.24607863987034093,0.00829873348042423
pressure,0.5812979738533834,0.22897715047694175,0.24577539723172054,0.008399123377389392
pressure,0.5837825497694236,0.22847312804439107,0.24547215459310015,0.00849951327435454
pressure,0.5862671256854637,0.2279691056118404,0.24516891195447976,0.008599903171319687
pressure,0.5887517016015038,0.2274650831792897,0.24486566931585937,0.008700293068284834
pressure,0.5912362775175438,0.22696447679762444,0.2445691631576429,0.008802343180009234
pressure,0.5937208534335839,0.22675035045155476,0.24483759798263974,0.009043623765542491
pressure,0.5962054293496241,0.22653622410548505,0.24510603280763657,0.009284904351075762
pressure,0.5986900052656642,0.22632209775941536,0.2453744676326334,0.00952618493660902
pressure,0.6011745811817043,0.22610797141334568,0.24564290245763024,0.009767465522142277
pressure,0.6036591570977443,0.225893845067276,0.24591133728262704,0.01000874610767552
pressure,0.6061437330137844,0.22567971872120632,0.24617977210762387,0.010250026693208777
pressure,0.6086283089298246,0.22570054585676955,0.24652020314450096,0.010409828643865707
pressure,0.6111128848458647,0.22641110112738028,0.24707198586089152,0.010330442366755621
pressure,0.6135974607619048,0.227121656397991,0.24762376857728205,0.010251056089645522
pressure,0.6160820366779449,0.2278322116686017,0.2481755512936726,0.01017166981253545
pressure,0.6185666125939849,0.2285427669392124,0.24872733401006314,0.010092283535425364
pressure,0.621051188510025,0.22925332220982314,0.24927911672645367,0.010012897258315265
pressure,0.6235357644260652,0.22996387748043387,0.24983089944284423,0.00993351098120518
pressure,0.6260203403421053,0.23036243708483206,0.2502896091937781,0.009963586054473006
